Causa - CID-BR-10,UF,Obitos
. 097 Rest afec originadas no período perinatal,AM,856
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",AM,1925
. 098 Malformações congênitas do sistema nervoso,AM,393
. 099 Malf congênitas do aparelho circulatório,AM,772
". 100 Rest de malf cong, deform e anomal Cromoss",AM,760
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",AM,12025
. 101 Senilidade,AM,226
. 102 Morte sem assistência médica,AM,2274
". 103 Rest sint, sin e ach anorm clín e laborat",AM,9525
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,AM,18445
. 104 Acidentes de transporte,AM,2973
. 105 Quedas,AM,939
. 106 Afogamento e submersões acidentais,AM,1160
". 107 Exposição à fumaça, ao fogo e às chamas",AM,107
". 108 Envenen, intoxic por ou expos a subst nociv",AM,272
. 109 Lesões autoprovocadas voluntariamente,AM,1842
. 110 Agressões,AM,9422
. 111 Eventos(fatos) cuja intenção é indeterminada,AM,476
. 112 Intervenções legais e operações de guerra,AM,0
. 113 Todas as outras causas externas,AM,1254
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,RR,3206
. 001 Doenças infecciosas intestinais,RR,192
... 003 Diarréia e gastroenterite orig infec pres,RR,175
... 004 Outras doenças infecciosas intestinais,RR,17
..... 004.1 Febres tifóide e paratifóide,RR,0
. 005-006 Tuberculose,RR,128
... 005 Tuberculose respiratória,RR,108
... 006 Outras tuberculoses,RR,20
. 007-015 Outras doenças bacterianas,RR,197
... 008 Leptospirose,RR,2
... 009 Hanseníase,RR,2
... 010 Tétano,RR,0
..... 010.1 Tétano neonatal,RR,0
..... 010.3 Tétano acidental,RR,0
... 011 Difteria,RR,0
... 012 Coqueluche,RR,0
... 013 Infecção meningocócica,RR,1
... 014 Septicemia,RR,164
... 015 Infecções com transmissão predom sexual,RR,7
. 016-023 Doenças virais,RR,322
... 017 Raiva,RR,0
... 018 Dengue,RR,1
... 019 Febre amarela,RR,1
... 020 Out febres p/arbovírus e febr hemor virais,RR,2
... 021 Sarampo,RR,0
... 022 Hepatite viral,RR,59
... 023 Doen p/vírus da imunodefic humana (HIV),RR,252
. 024-027 Doenças transmitidas por protozoários,RR,154
... 024 Malária,RR,131
... 025 Leishmaniose,RR,9
... 026 Doença de Chagas,RR,1
