DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
2002-09-01,PRECOS12_IPCAAB12,2002-09-01T00:00:00-03:00,1,9,2002,1.96
2002-10-01,PRECOS12_IPCAAB12,2002-10-01T00:00:00-03:00,1,10,2002,2.79
2002-11-01,PRECOS12_IPCAAB12,2002-11-01T00:00:00-03:00,1,11,2002,5.85
2002-12-01,PRECOS12_IPCAAB12,2002-12-01T00:00:00-02:00,1,12,2002,3.91
2003-01-01,PRECOS12_IPCAAB12,2003-01-01T00:00:00-02:00,1,1,2003,2.15
2003-02-01,PRECOS12_IPCAAB12,2003-02-01T00:00:00-02:00,1,2,2003,1.22
2003-03-01,PRECOS12_IPCAAB12,2003-03-01T00:00:00-03:00,1,3,2003,1.66
2003-04-01,PRECOS12_IPCAAB12,2003-04-01T00:00:00-03:00,1,4,2003,1.01
2003-05-01,PRECOS12_IPCAAB12,2003-05-01T00:00:00-03:00,1,5,2003,0.63
2003-06-01,PRECOS12_IPCAAB12,2003-06-01T00:00:00-03:00,1,6,2003,-0.34
2003-07-01,PRECOS12_IPCAAB12,2003-07-01T00:00:00-03:00,1,7,2003,-0.67
